#category,NBA Players
#primary,Name
#field,Championships,optional
#field,Seasons Played,optional
#field,Points,optional
#field,Assists,optional
#field,Rebounds,optional
#field,MVP Awards,optional
#field,All-Star Selections,optional
#field,Finals Appearances,optional
Name,Championships,Seasons Played,Points,Assists,Rebounds,MVP Awards,All-Star Selections,Finals Appearances
Aaron Gordon,,,,,,,,
Adam Morrison,,,,,,,,
Allen Iverson,0,14,24368,5674,3394,1,11,1
Anthony Davis,1,14,19525,2614,8627,0,10,1
Austin Reaves,,,,,,,,
Bam Adebayo,,,,,,,,
Ben Gordon,,,,,,,,
Ben Simmons,,,,,,,,
Ben Wallace,,,,,,,,
Bill Russell,11,13,14522,4100,21620,5,12,13
Bill Sharman,4,11,12636,2127,2763,0,8,4
Bill Walton,2,10,6215,1590,4923,1,2,2
Billy Cunningham,1,11,19260,3476,8649,1,6,2
Bob Cousy,1,13,16960,6949,5441,0,12,2
Bob McAdoo,0,14,18787,1501,8601,1,5,0
Bob Pettit,1,11,20880,2369,12851,2,11,4
Brad Miller,,,,,,,,
Bradley Beal,,,,,,,,
Brandon Jennings,,,,,,,,
Bronny James,,,,,,,,
Brook Lopez,,,,,,,,
Cade Cunningham,,,,,,,,
Carl Landry,,,,,,,,
Carlos Arroyo,,,,,,,,
Carlos Boozer,,,,,,,,
Carmelo Anthony,0,19,28289,3394,7806,0,10,0
Charles Barkley,0,16,23757,4217,12546,1,11,1
Chris Bosh,,,,,,,,
Chris Paul,0,19,20165,12552,4129,0,11,1
Chris Webber,,,,,,,,
Clyde Drexler,1,15,22895,6125,6677,0,10,3
Craig Ehlo,,,,,,,,
Damian Lillard,0,13,22569,6027,3862,0,9,0
Danny Green,,,,,,,,
Darius Garland,,,,,,,,
Dave Bing,0,12,18327,5397,2441,0,5,0
Dave Cowens,2,11,17382,3476,13192,1,8,2
Dave DeBusschere,2,12,14053,2497,9618,0,8,2
David Robinson,2,14,20790,3502,10497,1,10,2
DeMar DeRozan,,,,,,,,
DeMarcus Cousins,,,,,,,,
Dennis Rodman,5,14,6683,1516,11954,0,8,5
Derek Fisher,,,,,,,,
Deron Williams,,,,,,,,
Derrick Rose,,,,,,,,
Dirk Nowitzki,1,21,31560,3651,11489,1,14,2
Doc Rivers,,,,,,,,
Dolph Schayes,0,15,18438,3072,12455,0,12,2
Dominique Wilkins,0,15,26668,3060,7169,0,9,0
Donovan Mitchell,,,,,,,,
Draymond Green,,,,,,,,
Dwight Howard,,,,,,,,
Dwyane Wade,3,16,23272,5701,4933,0,13,6
Earl Monroe,0,13,17454,3564,3942,0,4,0
Elgin Baylor,1,14,23149,3650,11463,0,11,8
Elvin Hayes,0,16,27313,1971,12289,0,12,2
Emeka Okafor,,,,,,,,
Evan Mobley,,,,,,,,
Evan Turner,,,,,,,,
Gary Payton,0,17,21813,8966,3996,0,9,0
George Gervin,0,14,26595,3449,4541,0,9,0
George Mikan,5,7,10156,1237,5862,0,4,5
Giannis Antetokounmpo,2,13,21531,4484,9589,2,9,2
Greg Oden,,,,,,,,
Hakeem Olajuwon,2,18,26946,3058,13748,1,12,2
Hal Greer,0,15,21586,4540,5665,0,10,0
Isiah Thomas,2,13,18822,9061,3478,0,6,2
